DATE,GS3M
1981-09-01,15.61
1981-10-01,14.23
1981-11-01,11.35
1981-12-01,11.32
1982-01-01,12.92
1982-02-01,14.28
1982-03-01,13.31
1982-04-01,13.34
1982-05-01,12.71
1982-06-01,13.08
1982-07-01,11.86
1982-08-01,9.00
1982-09-01,8.19
1982-10-01,7.97
1982-11-01,8.35
1982-12-01,8.20
1983-01-01,8.12
1983-02-01,8.39
1983-03-01,8.66
1983-04-01,8.51
1983-05-01,8.50
1983-06-01,9.14
1983-07-01,9.45
1983-08-01,9.74
1983-09-01,9.36
1983-10-01,8.99
1983-11-01,9.11
1983-12-01,9.36
1984-01-01,9.26
1984-02-01,9.46
1984-03-01,9.89
1984-04-01,10.07
1984-05-01,10.22
1984-06-01,10.26
1984-07-01,10.53
1984-08-01,10.90
1984-09-01,10.80
1984-10-01,10.12
1984-11-01,8.92
1984-12-01,8.34
1985-01-01,8.02
1985-02-01,8.56
1985-03-01,8.83
1985-04-01,8.22
1985-05-01,7.73
1985-06-01,7.18
1985-07-01,7.32
1985-08-01,7.37
1985-09-01,7.33
1985-10-01,7.40
1985-11-01,7.48
1985-12-01,7.33
1986-01-01,7.30
1986-02-01,7.29
1986-03-01,6.76
1986-04-01,6.24
1986-05-01,6.33
1986-06-01,6.40
1986-07-01,6.00
1986-08-01,5.69
1986-09-01,5.35
1986-10-01,5.32
1986-11-01,5.50
1986-12-01,5.68
1987-01-01,5.58
1987-02-01,5.75
1987-03-01,5.77
1987-04-01,5.82
1987-05-01,5.85
1987-06-01,5.85
1987-07-01,5.88
1987-08-01,6.23
1987-09-01,6.62
1987-10-01,6.35
1987-11-01,5.89
1987-12-01,5.96
1988-01-01,6.00
1988-02-01,5.84
1988-03-01,5.87
1988-04-01,6.08
1988-05-01,6.45
1988-06-01,6.66
1988-07-01,6.95
1988-08-01,7.30
1988-09-01,7.48
1988-10-01,7.60
1988-11-01,8.03
1988-12-01,8.35
1989-01-01,8.56
1989-02-01,8.84
1989-03-01,9.14
1989-04-01,8.96
1989-05-01,8.74
1989-06-01,8.43
1989-07-01,8.15
1989-08-01,8.17
1989-09-01,8.01
1989-10-01,7.90
1989-11-01,7.94
1989-12-01,7.88
1990-01-01,7.90
1990-02-01,8.00
1990-03-01,8.17
1990-04-01,8.04
1990-05-01,8.01
1990-06-01,7.99
1990-07-01,7.87
1990-08-01,7.69
1990-09-01,7.60
1990-10-01,7.40
1990-11-01,7.29
1990-12-01,6.95
1991-01-01,6.41
1991-02-01,6.12
1991-03-01,6.09
1991-04-01,5.83
1991-05-01,5.63
1991-06-01,5.75
1991-07-01,5.75
1991-08-01,5.50
1991-09-01,5.37
1991-10-01,5.14
1991-11-01,4.69
1991-12-01,4.18
1992-01-01,3.91
1992-02-01,3.95
1992-03-01,4.14
1992-04-01,3.84
1992-05-01,3.72
1992-06-01,3.75
1992-07-01,3.28
1992-08-01,3.20
1992-09-01,2.97
1992-10-01,2.93
1992-11-01,3.21
1992-12-01,3.29
1993-01-01,3.07
1993-02-01,2.99
1993-03-01,3.01
1993-04-01,2.93
1993-05-01,3.03
1993-06-01,3.14
1993-07-01,3.11
1993-08-01,3.09
1993-09-01,3.01
1993-10-01,3.09
1993-11-01,3.18
1993-12-01,3.13
1994-01-01,3.04
1994-02-01,3.33
1994-03-01,3.59
1994-04-01,3.78
1994-05-01,4.27
1994-06-01,4.25
1994-07-01,4.46
1994-08-01,4.61
1994-09-01,4.75
1994-10-01,5.10
1994-11-01,5.45
1994-12-01,5.76
1995-01-01,5.90
1995-02-01,5.94
1995-03-01,5.91
1995-04-01,5.84
1995-05-01,5.85
1995-06-01,5.64
1995-07-01,5.59
1995-08-01,5.57
1995-09-01,5.43
1995-10-01,5.44
1995-11-01,5.52
1995-12-01,5.29
1996-01-01,5.15
1996-02-01,4.96
1996-03-01,5.10
1996-04-01,5.09
1996-05-01,5.15
1996-06-01,5.23
1996-07-01,5.30
1996-08-01,5.19
1996-09-01,5.24
1996-10-01,5.12
1996-11-01,5.17
1996-12-01,5.04
1997-01-01,5.17
1997-02-01,5.14
1997-03-01,5.28
1997-04-01,5.30
1997-05-01,5.20
1997-06-01,5.07
1997-07-01,5.19
1997-08-01,5.28
1997-09-01,5.08
1997-10-01,5.11
1997-11-01,5.28
1997-12-01,5.30
1998-01-01,5.18
1998-02-01,5.23
1998-03-01,5.16
1998-04-01,5.08
1998-05-01,5.14
1998-06-01,5.12
1998-07-01,5.09
1998-08-01,5.04
1998-09-01,4.74
1998-10-01,4.07
1998-11-01,4.53
1998-12-01,4.50
1999-01-01,4.45
1999-02-01,4.56
1999-03-01,4.57
1999-04-01,4.41
1999-05-01,4.63
1999-06-01,4.72
1999-07-01,4.69
1999-08-01,4.87
1999-09-01,4.82
1999-10-01,5.02
1999-11-01,5.23
1999-12-01,5.36
2000-01-01,5.50
2000-02-01,5.73
2000-03-01,5.86
2000-04-01,5.82
2000-05-01,5.99
2000-06-01,5.86
2000-07-01,6.14
2000-08-01,6.28
2000-09-01,6.18
2000-10-01,6.29
2000-11-01,6.36
2000-12-01,5.94
2001-01-01,5.29
2001-02-01,5.01
2001-03-01,4.54
2001-04-01,3.97
2001-05-01,3.70
2001-06-01,3.57
2001-07-01,3.59
2001-08-01,3.44
2001-09-01,2.69
2001-10-01,2.20
2001-11-01,1.91
2001-12-01,1.72
2002-01-01,1.68
2002-02-01,1.76
2002-03-01,1.83
2002-04-01,1.75
2002-05-01,1.76
2002-06-01,1.73
2002-07-01,1.71
2002-08-01,1.65
2002-09-01,1.66
2002-10-01,1.61
2002-11-01,1.25
2002-12-01,1.21
2003-01-01,1.19
2003-02-01,1.19
2003-03-01,1.15
2003-04-01,1.15
2003-05-01,1.09
2003-06-01,0.94
2003-07-01,0.92
2003-08-01,0.97
2003-09-01,0.96
2003-10-01,0.94
2003-11-01,0.95
2003-12-01,0.91
2004-01-01,0.90
2004-02-01,0.94
2004-03-01,0.95
2004-04-01,0.96
2004-05-01,1.04
2004-06-01,1.29
2004-07-01,1.36
2004-08-01,1.50
2004-09-01,1.68
2004-10-01,1.79
2004-11-01,2.11
2004-12-01,2.22
2005-01-01,2.37
2005-02-01,2.58
2005-03-01,2.80
2005-04-01,2.84
2005-05-01,2.90
2005-06-01,3.04
2005-07-01,3.29
2005-08-01,3.52
2005-09-01,3.49
2005-10-01,3.79
2005-11-01,3.97
2005-12-01,3.97
2006-01-01,4.34
2006-02-01,4.54
2006-03-01,4.63
2006-04-01,4.72
2006-05-01,4.84
2006-06-01,4.92
2006-07-01,5.08
2006-08-01,5.09
2006-09-01,4.93
2006-10-01,5.05
2006-11-01,5.07
2006-12-01,4.97
2007-01-01,5.11
2007-02-01,5.16
2007-03-01,5.08
2007-04-01,5.01
2007-05-01,4.87
2007-06-01,4.74
2007-07-01,4.96
2007-08-01,4.32
2007-09-01,3.99
2007-10-01,4.00
2007-11-01,3.35
2007-12-01,3.07
2008-01-01,2.82
2008-02-01,2.17
2008-03-01,1.28
2008-04-01,1.31
2008-05-01,1.76
2008-06-01,1.89
2008-07-01,1.66
2008-08-01,1.75
2008-09-01,1.15
2008-10-01,0.69
2008-11-01,0.19
2008-12-01,0.03
2009-01-01,0.13
2009-02-01,0.30
2009-03-01,0.22
2009-04-01,0.16
2009-05-01,0.18
2009-06-01,0.18
2009-07-01,0.18
2009-08-01,0.17
2009-09-01,0.12
2009-10-01,0.07
2009-11-01,0.05
2009-12-01,0.05
2010-01-01,0.06
2010-02-01,0.11
2010-03-01,0.15
2010-04-01,0.16
2010-05-01,0.16
2010-06-01,0.12
2010-07-01,0.16
2010-08-01,0.16
2010-09-01,0.15
2010-10-01,0.13
2010-11-01,0.14
2010-12-01,0.14
2011-01-01,0.15
2011-02-01,0.13
2011-03-01,0.10
2011-04-01,0.06
2011-05-01,0.04
2011-06-01,0.04
2011-07-01,0.04
2011-08-01,0.02
2011-09-01,0.01
2011-10-01,0.02
2011-11-01,0.01
2011-12-01,0.01
2012-01-01,0.03
2012-02-01,0.09
2012-03-01,0.08
2012-04-01,0.08
2012-05-01,0.09
2012-06-01,0.09
2012-07-01,0.10
2012-08-01,0.10
2012-09-01,0.11
2012-10-01,0.10
2012-11-01,0.09
2012-12-01,0.07
2013-01-01,0.07
2013-02-01,0.10
2013-03-01,0.09
2013-04-01,0.06
2013-05-01,0.04
2013-06-01,0.05
2013-07-01,0.04
2013-08-01,0.04
2013-09-01,0.02
2013-10-01,0.05
2013-11-01,0.07
2013-12-01,0.07
2014-01-01,0.04
2014-02-01,0.05
2014-03-01,0.05
2014-04-01,0.03
2014-05-01,0.03
2014-06-01,0.04
2014-07-01,0.03
2014-08-01,0.03
2014-09-01,0.02
2014-10-01,0.02
2014-11-01,0.02
2014-12-01,0.03
2015-01-01,0.03
2015-02-01,0.02
2015-03-01,0.03
2015-04-01,0.02
2015-05-01,0.02
2015-06-01,0.02
2015-07-01,0.03
2015-08-01,0.07
2015-09-01,0.02
2015-10-01,0.02
2015-11-01,0.13
2015-12-01,0.23
2016-01-01,0.26
2016-02-01,0.31
2016-03-01,0.30
2016-04-01,0.23
2016-05-01,0.28
2016-06-01,0.27
2016-07-01,0.30
2016-08-01,0.30
2016-09-01,0.29
2016-10-01,0.33
2016-11-01,0.45
2016-12-01,0.51
2017-01-01,0.52
2017-02-01,0.53
2017-03-01,0.75
2017-04-01,0.81
2017-05-01,0.90
2017-06-01,1.00
2017-07-01,1.09
2017-08-01,1.03
2017-09-01,1.05
2017-10-01,1.09
2017-11-01,1.25
2017-12-01,1.34
2018-01-01,1.43
2018-02-01,1.59
2018-03-01,1.73
2018-04-01,1.79
2018-05-01,1.90
2018-06-01,1.94
2018-07-01,1.99
2018-08-01,2.07
2018-09-01,2.17
2018-10-01,2.29
2018-11-01,2.37
2018-12-01,2.41
2019-01-01,2.42
2019-02-01,2.44
2019-03-01,2.45
2019-04-01,2.43
2019-05-01,2.40
2019-06-01,2.22
2019-07-01,2.15
2019-08-01,1.99
2019-09-01,1.93
2019-10-01,1.68
2019-11-01,1.57
2019-12-01,1.57
2020-01-01,1.55
2020-02-01,1.54
2020-03-01,0.30
2020-04-01,0.14
2020-05-01,0.13
2020-06-01,0.16
2020-07-01,0.13
2020-08-01,0.10
2020-09-01,0.11
2020-10-01,0.10
2020-11-01,0.09
2020-12-01,0.09
2021-01-01,0.08
2021-02-01,0.04
2021-03-01,0.03
2021-04-01,0.02
2021-05-01,0.02
2021-06-01,0.04
2021-07-01,0.05
2021-08-01,0.05
2021-09-01,0.04
2021-10-01,0.05
2021-11-01,0.05
2021-12-01,0.06
2022-01-01,0.15
2022-02-01,0.31
2022-03-01,0.45
2022-04-01,0.76
2022-05-01,0.99
2022-06-01,1.54
2022-07-01,2.30
2022-08-01,2.72
2022-09-01,3.22
2022-10-01,3.87
2022-11-01,4.32
2022-12-01,4.36
2023-01-01,4.69
2023-02-01,4.79
2023-03-01,4.86
2023-04-01,5.07
