DATE,PCU4841214841212
1992-06-01,100.0
1992-07-01,99.9
1992-08-01,100.0
1992-09-01,99.8
1992-10-01,99.8
1992-11-01,99.5
1992-12-01,99.5
1993-01-01,99.6
1993-02-01,99.6
1993-03-01,99.8
1993-04-01,99.8
1993-05-01,98.6
1993-06-01,99.5
1993-07-01,97.6
1993-08-01,98.7
1993-09-01,98.7
1993-10-01,98.7
1993-11-01,98.2
1993-12-01,98.1
1994-01-01,97.5
1994-02-01,98.7
1994-03-01,99.5
1994-04-01,99.0
1994-05-01,98.9
1994-06-01,99.5
1994-07-01,100.1
1994-08-01,100.2
1994-09-01,100.3
1994-10-01,101.3
1994-11-01,101.2
1994-12-01,102.1
1995-01-01,100.8
1995-02-01,102.1
1995-03-01,102.8
1995-04-01,102.0
1995-05-01,102.5
1995-06-01,102.9
1995-07-01,101.2
1995-08-01,103.6
1995-09-01,102.8
1995-10-01,103.1
1995-11-01,102.7
1995-12-01,101.4
1996-01-01,100.6
1996-02-01,102.0
1996-03-01,102.1
1996-04-01,102.1
1996-05-01,102.7
1996-06-01,102.7
1996-07-01,102.5
1996-08-01,102.4
1996-09-01,102.4
1996-10-01,103.1
1996-11-01,103.2
1996-12-01,103.2
1997-01-01,103.2
1997-02-01,103.2
1997-03-01,103.2
1997-04-01,103.4
1997-05-01,103.5
1997-06-01,103.4
1997-07-01,103.5
1997-08-01,103.6
1997-09-01,103.8
1997-10-01,103.9
1997-11-01,104.0
1997-12-01,104.0
1998-01-01,104.6
1998-02-01,104.6
1998-03-01,104.6
1998-04-01,104.6
1998-05-01,104.3
1998-06-01,104.3
1998-07-01,104.4
1998-08-01,104.5
1998-09-01,104.5
1998-10-01,104.7
1998-11-01,104.7
1998-12-01,104.6
1999-01-01,105.1
1999-02-01,105.2
1999-03-01,105.2
1999-04-01,105.2
1999-05-01,105.4
1999-06-01,105.5
1999-07-01,105.5
1999-08-01,105.6
1999-09-01,105.8
1999-10-01,105.6
1999-11-01,105.5
1999-12-01,105.7
2000-01-01,106.1
2000-02-01,106.4
2000-03-01,107.0
2000-04-01,107.5
2000-05-01,107.9
2000-06-01,108.0
2000-07-01,108.1
2000-08-01,108.4
2000-09-01,109.2
2000-10-01,109.5
2000-11-01,109.8
2000-12-01,109.8
2001-01-01,110.0
2001-02-01,109.6
2001-03-01,109.4
2001-04-01,109.7
2001-05-01,109.9
2001-06-01,109.9
2001-07-01,110.3
2001-08-01,110.2
2001-09-01,110.4
2001-10-01,110.0
2001-11-01,109.7
2001-12-01,109.3
2002-01-01,108.9
2002-02-01,108.8
2002-03-01,108.7
2002-04-01,109.3
2002-05-01,109.3
2002-06-01,109.5
2002-07-01,109.5
2002-08-01,109.8
2002-09-01,109.9
2002-10-01,110.2
2002-11-01,110.4
2002-12-01,110.3
2003-01-01,110.4
2003-02-01,110.8
2003-03-01,111.4
2003-04-01,111.6
2003-05-01,111.8
2003-06-01,111.4
2003-07-01,112.4
2003-08-01,112.8
2003-09-01,113.0
